date,isin_corporate_name_cleaned,company_parent_country,target_country1,target_country2,target_country3,target_country4,target_country5,target_country6,ngo_name1,ngo_name2,ngo_name3,ngo_name4,ngo_name5
2010-05-28,Barclays  ,UK,EU-Brussels,,,,,,Amis de la Terre France / FoE France,Urgewald,CRBM Campagna per la Riforma della Banca Mondiale ,Antiatom Szene ,
2010-05-28,,US,EU-Brussels,,,,,,Amis de la Terre France / FoE France,Urgewald,CRBM Campagna per la Riforma della Banca Mondiale ,Antiatom Szene ,
2010-05-28,JPMorgan Chase ,US,EU-Brussels,,,,,,Amis de la Terre France / FoE France,Urgewald,CRBM Campagna per la Riforma della Banca Mondiale ,Antiatom Szene ,
2010-05-28,Societe Generale ,France,EU-Brussels,,,,,,Amis de la Terre France / FoE France,Urgewald,CRBM Campagna per la Riforma della Banca Mondiale ,Antiatom Szene ,
2010-05-28,,France,EU-Brussels,,,,,,Amis de la Terre France / FoE France,Urgewald,CRBM Campagna per la Riforma della Banca Mondiale ,Antiatom Szene ,
2010-05-28,,Spain,Spain,,,,,,Ecologistas en Accion,,,,
2010-05-28,,US,US,,,,,,As You Sow,,,,
2010-05-27,Barclays  ,UK,UK,,,,,,Christian Aid UK,,,,
2010-05-27,Experian  ,Ireland,Denmark,,,,,,Forbrugerraadet Taenk / Danish Consumer Council,,,,
2010-05-27,,Denmark,Denmark,,,,,,Forbrugerraadet Taenk / Danish Consumer Council,,,,
2010-05-26,Bank of America ,US,US,,,,,,Indigenous Environmental Network IEN,Rainforest Action Network RAN,,,
2010-05-26,,UK,US,,,,,,Indigenous Environmental Network IEN,Rainforest Action Network RAN,,,
2010-05-26,,US,US,,,,,,Indigenous Environmental Network IEN,Rainforest Action Network RAN,,,
2010-05-26,JPMorgan Chase ,US,US,,,,,,Indigenous Environmental Network IEN,Rainforest Action Network RAN,,,
2010-05-26,Governor of the Bank of Ireland ,Ireland,US,,,,,,Indigenous Environmental Network IEN,Rainforest Action Network RAN,,,
