"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!White alone"," !!Total:!!Black or African American alone"," !!Total:!!American Indian and Alaska Native alone"," !!Total:!!Asian alone"," !!Total:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Some Other Race alone"," !!Total:!!Two or More Races",
"860Z200US01032","ZCTA5 01032","483","456","1","0","0","0","6","20",
"860Z200US01033","ZCTA5 01033","6092","5424","85","12","187","0","82","302",
"860Z200US01034","ZCTA5 01034","1977","1834","10","6","16","0","12","99",
"860Z200US01035","ZCTA5 01035","5325","4411","78","11","353","1","130","341",
"860Z200US01036","ZCTA5 01036","4966","4598","39","12","34","2","37","244",
"860Z200US01037","ZCTA5 01037","706","657","3","1","0","0","8","37",
"860Z200US01038","ZCTA5 01038","2522","2371","17","8","14","1","14","97",
"860Z200US01039","ZCTA5 01039","1511","1384","19","5","7","1","11","84",
"860Z200US01040","ZCTA5 01040","38238","19984","1640","262","418","36","9903","5995",
"860Z200US01050","ZCTA5 01050","2467","2232","16","3","16","0","40","160",
"860Z200US01053","ZCTA5 01053","2031","1803","51","3","20","0","47","107",
"860Z200US01054","ZCTA5 01054","1889","1636","33","3","36","1","29","151",
"860Z200US01056","ZCTA5 01056","21002","18230","541","46","244","7","751","1183",
"860Z200US01057","ZCTA5 01057","8152","7543","62","17","57","2","80","391",
"860Z200US01060","ZCTA5 01060","14461","11463","431","64","615","10","605","1273",
"860Z200US01062","ZCTA5 01062","10910","9182","263","18","247","0","349","851",
"860Z200US01063","ZCTA5 01063","2106","1174","170","2","415","2","97","246",
"860Z200US01066","ZCTA5 01066","215","184","5","2","7","1","7","9",
"860Z200US01068","ZCTA5 01068","1904","1742","22","4","18","1","10","107",
"860Z200US01069","ZCTA5 01069","8428","7376","166","29","138","4","155","560",
"860Z200US01070","ZCTA5 01070","577","524","2","1","2","0","8","40",
"860Z200US01071","ZCTA5 01071","1486","1397","12","4","2","0","4","67",
"860Z200US01072","ZCTA5 01072","1366","1226","10","1","10","0","17","102",
"860Z200US01073","ZCTA5 01073","6224","5774","31","0","55","1","42","321",
"860Z200US01074","ZCTA5 01074","584","507","12","1","11","0","16","37",
