ticker,date,n_tweets,sent_index
V,2018-04-19,52,0.3
V,2018-04-20,24,0.2
V,2018-04-21,17,0.4
V,2018-04-22,10,0.4
V,2018-04-23,24,0.5
V,2018-04-24,43,0.1
V,2018-04-25,183,0.5
V,2018-04-26,159,0.4
V,2018-04-27,52,0.1
V,2018-04-28,11,0.2
V,2018-04-29,6,0.3333333333333333
V,2018-04-30,39,0.4
V,2018-05-01,46,-0.1
V,2018-05-02,79,0.0
V,2018-05-03,48,0.4
V,2018-05-04,44,0.2
V,2018-05-05,10,0.3
V,2018-05-06,4,0.0
V,2018-05-07,32,0.3
V,2018-05-08,32,0.2
V,2018-05-09,30,0.4
V,2018-05-10,49,0.3
V,2018-05-11,40,0.4
V,2018-05-12,11,0.0
V,2018-05-13,4,0.5
V,2018-05-14,24,0.4
V,2018-05-15,31,0.2
V,2018-05-16,22,0.1
V,2018-05-17,26,0.1
V,2018-05-18,25,0.1
V,2018-05-19,4,0.0
V,2018-05-20,5,0.4
V,2018-05-21,26,0.1
V,2018-05-22,28,0.0
V,2018-05-23,31,0.5
V,2018-05-24,31,0.3
V,2018-05-25,21,0.4
V,2018-05-26,4,0.25
V,2018-05-27,9,0.3333333333333333
V,2018-05-28,2,0.0
V,2018-05-29,22,0.1
V,2018-05-30,28,0.3
V,2018-05-31,19,0.6
V,2018-06-01,72,-0.3
V,2018-06-02,12,0.1
V,2018-06-03,4,0.0
V,2018-06-04,48,0.2
V,2018-06-05,40,0.6
V,2018-06-06,44,0.1
V,2018-06-07,51,0.1
V,2018-06-08,21,-0.1
V,2018-06-09,10,0.5
V,2018-06-10,6,0.16666666666666666
V,2018-06-11,18,0.0
V,2018-06-12,26,0.3
V,2018-06-13,38,0.0
V,2018-06-14,18,0.2
V,2018-06-15,21,0.0
V,2018-06-16,8,0.25
V,2018-06-17,3,0.3333333333333333
V,2018-06-18,32,0.5
V,2018-06-19,26,0.2
V,2018-06-20,35,0.2
V,2018-06-21,30,-0.1
V,2018-06-22,15,0.5
V,2018-06-23,7,-0.14285714285714285
V,2018-06-24,8,0.5
V,2018-06-25,52,0.0
V,2018-06-26,32,0.0
V,2018-06-27,27,0.0
V,2018-06-28,40,0.2
V,2018-06-29,29,0.0
V,2018-06-30,5,0.4
V,2018-07-01,8,0.125
V,2018-07-02,18,0.0
V,2018-07-03,15,0.2
V,2018-07-04,3,0.6666666666666666
V,2018-07-05,15,0.3
V,2018-07-06,19,0.0
V,2018-07-07,4,0.0
V,2018-07-08,6,0.5
V,2018-07-09,40,0.2
V,2018-07-10,52,0.4
V,2018-07-11,97,0.0
V,2018-07-12,89,0.4
V,2018-07-13,40,0.4
V,2018-07-14,9,0.2222222222222222
V,2018-07-15,12,-0.1
V,2018-07-16,37,0.4
V,2018-07-17,69,0.1
V,2018-07-18,105,0.1
V,2018-07-19,81,0.2
V,2018-07-20,49,0.5
V,2018-07-21,33,0.3
V,2018-07-22,18,0.2
V,2018-07-23,50,0.3
V,2018-07-24,81,0.3
V,2018-07-25,268,0.1
V,2018-07-26,150,-0.3
V,2018-07-27,86,0.1
V,2018-07-28,13,0.1
V,2018-07-29,9,0.0
V,2018-07-30,85,0.1
V,2018-07-31,55,0.2
V,2018-08-01,33,0.5
V,2018-08-02,47,0.5
V,2018-08-03,33,0.4
