date,isin_corporate_name_cleaned,company_parent_country,company_parent,sentiment,target_country1,target_country2,target_country3,target_country4,target_country5,target_country6,ngo_name1,ngo_name2,ngo_name3,ngo_name4,ngo_name5
2014-03-11,Banco Bilbao Vizcaya Argentaria ,Spain,BBVA Group / Banco Bilbao Vizcaya Argentaria,-2,Chile,,,,,,CONADECUS Asociacion de Consumidores,,,,
2014-03-10,,US,Cerberus Capital Management,-1,US,,,,,,Food & Water Watch FWW,,,,
2014-03-10,,Portugal,Caixa Geral de Depositos (CGD),-1,Portugal,,,,,,DECO Proteste ,,,,
2014-03-10,Credit Agricole ,Portugal,Credito Agricola,-1,Portugal,,,,,,DECO Proteste ,,,,
2014-03-10,Mastercard ,US,MasterCard,-1,France,,,,,,60 Millions de Consommateurs INC,,,,
2014-03-10,Visa ,US,Visa Inc,-1,France,,,,,,60 Millions de Consommateurs INC,,,,
2014-03-06,Wells Fargo ,US,Wells Fargo & Wachovia,-1,US,,,,,,Citizens for Tax Justice,Institute on Taxation and Economic Policy ITEP,,,
2014-03-05,JPMorgan Chase ,US,JP Morgan Chase,0,EU-Brussels,,,,,,Greenpeace Europe,,,,
2014-03-03,Bank of America ,US,Bank of America,-1,US,,,,,,U.S. PIRG,,,,
2014-03-03,,US,GE Capital,-1,US,,,,,,U.S. PIRG,,,,
2014-03-03,Capital One Financial ,US,Capital One,-1,US,,,,,,U.S. PIRG,,,,
2014-03-03,,US,Sallie Mae,-1,US,,,,,,U.S. PIRG,,,,
2014-03-03,,US,Citigroup,-1,US,,,,,,U.S. PIRG,,,,
2014-03-03,,US,Encore Capital Group,-2,US,,,,,,U.S. PIRG,,,,
2014-03-03,,US,Expert Global Solutions,-1,US,,,,,,U.S. PIRG,,,,
2014-03-03,,US,Portfolio Recovery Associates,-1,US,,,,,,U.S. PIRG,,,,
2014-03-03,,US,Allied Interstate,-1,US,,,,,,U.S. PIRG,,,,
2014-03-03,,US,Resurgent Capital Services,-1,US,,,,,,U.S. PIRG,,,,
2014-02-28,,US,International Monetary Fund / IMF,-2,Uruguay,,,,,,Uruguay Libre de Megamineria,,,,
2014-02-27,,UK,EBRD,-2,Russia,EU-Brussels,,,,,Greenpeace Russia,Bellona Russia,,,
2014-02-27,,UK,Virgin Group,-2,United Arab Emirates,UK,US,,,,Whale and Dolphin Conservation / WDC,,,,
2014-02-27,Societe Generale ,France,Societe Generale,-2,Australia,France,,,,,Amis de la Terre France / FoE France,350.org Australia,Market Forces (Australia),,
2014-02-27,ING Groep ,Netherlands,ING,2,Netherlands,,,,,,Consumentenbond,,,,
2014-02-27,,Netherlands,SRH (formerly SNS Reaal),-1,Netherlands,,,,,,Consumentenbond,,,,
2014-02-27,,Netherlands,Triodos Bank,-1,Netherlands,,,,,,Consumentenbond,,,,
2014-02-27,,Netherlands,Rabobank,-1,Netherlands,,,,,,Consumentenbond,,,,
2014-02-27,,Netherlands,SRH (formerly SNS Reaal),2,Netherlands,,,,,,Consumentenbond,,,,
2014-02-27,,Netherlands,SRH (formerly SNS Reaal),2,Netherlands,,,,,,Consumentenbond,,,,
2014-02-27,Aegon ,Netherlands,Aegon Bank,0,Netherlands,,,,,,Consumentenbond,,,,
2014-02-26,,US,Ernst & Young (EY),-2,Congo/DRC,United Arab Emirates,UK,,,,Global Witness,,,,
2014-02-26,BlackRock ,US,BlackRock,0,US,,,,,,Oceana International,Oil Change International / Price of Oil,,,
2014-02-25,Bank of America ,US,Bank of America,-1,US,,,,,,U.S. PIRG,,,,
2014-02-25,Morgan Stanley ,US,Morgan Stanley,-1,US,,,,,,U.S. PIRG,,,,
2014-02-25,Goldman Sachs ,US,"Goldman Sachs Group, Inc.",-1,US,,,,,,U.S. PIRG,,,,
2014-02-25,,US,Marsh & McLennan (MMC),-1,US,,,,,,U.S. PIRG,,,,
2014-02-25,BNP Paribas ,France,BNP Paribas,-2,Australia,France,,,,,Amis de la Terre France / FoE France,Attac France,,,
